,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
4311,10522946,house,house,235000.0,194.0,2.0,5.0,2.0,25.0,1.0,,2.0,,0,0,,,0.0,0.0,5,Gas,Non flood zone,Urban,1790,Teralfene,Flemish Brabant
4312,10499053,house,house,,,,3.0,1.0,,,,,,0,0,,,,,2,Gas,,,6240,Pironchamps,Hainaut
4313,10593587,apartment,penthouse,249000.0,72.0,4.0,2.0,1.0,,,,1.0,1.0,6,0,1.0,0.0,3.0,0.0,1,Gas,Non flood zone,Isolated,4432,Ans,Liège
4314,10443530,house,house,235000.0,198.0,2.0,3.0,1.0,28.0,3.0,1.0,1.0,,27,242,0.0,,2.0,0.0,2,Fuel oil,Non flood zone,Urban,4300,Waremme,Liège
4315,10366178,apartment,apartment,169000.0,54.0,2.0,1.0,1.0,,2.0,,1.0,,0,0,1.0,,0.0,0.0,3,Fuel oil,Non flood zone,,1020,Laeken,Brussels Capital Region
4316,10532322,apartment,apartment,195000.0,80.0,2.0,2.0,1.0,36.0,1.0,,1.0,1.0,4,0,,,3.0,,2,Gas,,,1070,Anderlecht,Brussels Capital Region
4317,10487609,house,house,239000.0,210.0,,5.0,,,1.0,1.0,2.0,1.0,0,124,,,3.0,0.0,3,Gas,Non flood zone,,8520,Kuurne,West Flanders
4318,10593585,apartment,apartment,249000.0,80.0,4.0,2.0,1.0,,,,1.0,1.0,10,0,1.0,0.0,3.0,0.0,1,Gas,Non flood zone,Isolated,4432,Ans,Liège
4319,10526206,apartment,apartment,169000.0,58.0,2.0,1.0,1.0,26.0,1.0,,1.0,,0,0,1.0,,2.0,0.0,1,Gas,,Urban,1080,Molenbeek-Saint-Jean,Brussels Capital Region
4320,10555785,apartment,apartment,169000.0,76.0,,2.0,,36.0,1.0,1.0,1.0,1.0,0,0,1.0,,3.0,,5,Gas,,,5500,Furfooz,Namur
4321,10548742,house,house,90000.0,55.0,2.0,2.0,1.0,16.0,,,,1.0,0,0,,,2.0,,1,,,,7340,Wasmes,Hainaut
4322,10555326,house,house,95000.0,,,3.0,,,,,,,0,0,,,,,5,Gas,,,6224,Wangenies,Hainaut
4323,10591735,apartment,ground-floor,259000.0,81.0,3.0,2.0,1.0,38.0,1.0,,1.0,,0,0,,,0.0,,3,Gas,Non flood zone,,1082,Molenbeek-Saint-Jean,Brussels Capital Region
